check_name,description,full_path,relative_path,file_count,dept,check_type,check_text
海关业务和贸易安全培训 、 危机管理培训,,海关业务和贸易安全培训 、 危机管理培训,,0,单项标准,上传即为通过,
海关业务和贸易安全培训 、 信息安全培训,,海关业务和贸易安全培训 、 信息安全培训,,0,单项标准,上传即为通过,
三、1 商品检查与进出口法检制度,,三、1 商品检查与进出口法检制度,,0,单项标准,关键词检测,“商检”、“法检”
三、3 抽查单证文件,,三、3 抽查单证文件,,0,单项标准,上传即为通过,
三、4 熏蒸板记录,,三、4 熏蒸板记录,,0,单项标准,上传即为通过,
二、2 特殊物品单证,,二、2 特殊物品单证,,0,单项标准,上传即为通过,
二、3 特殊物品安全管理制度,,二、3 特殊物品安全管理制度,,0,单项标准,关键词检测,“单证管理”、“复核”
一、1 进出口单证复核&保管制度,,一、1 进出口单证复核&保管制度,,0,单项标准,关键词检测,“单证管理”、“复核”
三、2 进境商检查验管理台账历年纪录,,三、2 进境商检查验管理台账历年纪录,,0,单项标准,上传即为通过,
进出口商品检验 、 法检制度,,进出口商品检验 、 法检制度,,0,单项标准,关键词检测,“商检”、“法检”
八、物流运输业务 - 20 运输工具管理制度,,八、物流运输业务 - 20 运输工具管理制度,,0,单项标准,关键词检测,“车辆管理”
八、物流运输业务 - 21-1 运输工具轨迹管理制度,,八、物流运输业务 - 21-1 运输工具轨迹管理制度,,0,单项标准,关键词检测,“定位监控”、“轨迹系统”、“车载终端”
八、物流运输业务 - 21-2 车辆行驶轨迹记录,,八、物流运输业务 - 21-2 车辆行驶轨迹记录,,0,单项标准,上传即为通过,
八、物流运输业务 - 22-1 驾驶员安全与匹配制度,,八、物流运输业务 - 22-1 驾驶员安全与匹配制度,,0,单项标准,关键词检测,“驾驶员审核”、“身份检查”、“人员匹配”
八、物流运输业务 - 22-2 车辆与司机登记台账,,八、物流运输业务 - 22-2 车辆与司机登记台账,,0,单项标准,上传即为通过,
六、代理报关业务 - 1 进出口单证及复核制度文件,,六、代理报关业务 - 1 进出口单证及复核制度文件,,0,单项标准,关键词检测,“进出口单证”
六、代理报关业务 - 2 系统复审界面截屏,,六、代理报关业务 - 2 系统复审界面截屏,,0,单项标准,上传即为通过,
六、代理报关业务 - 3 历年退改单率统计,,六、代理报关业务 - 3 历年退改单率统计,,0,单项标准,上传即为通过,
六、代理报关业务 - 4 历年单一窗口数据取值截屏,,六、代理报关业务 - 4 历年单一窗口数据取值截屏,,0,单项标准,上传即为通过,
六、代理报关业务 - 5 系统逻辑检验截屏,,六、代理报关业务 - 5 系统逻辑检验截屏,,0,单项标准,上传即为通过,
六、代理报关业务 - 6 历年单证抽取记录,,六、代理报关业务 - 6 历年单证抽取记录,,0,单项标准,上传即为通过,
六、代理报关业务 - 7 海关法律法规培训管理办法,,六、代理报关业务 - 7 海关法律法规培训管理办法,,0,单项标准,上传即为通过,
六、代理报关业务 - 8 客户海关法律法规培训签到记录和培训课件,,六、代理报关业务 - 8 客户海关法律法规培训签到记录和培训课件,,0,单项标准,上传即为通过,
六、代理报关业务 - 9 延伸认证情况说明文件,,六、代理报关业务 - 9 延伸认证情况说明文件,,0,单项标准,上传即为通过,
五、2 历年法检查验管理台账,,五、2 历年法检查验管理台账,,0,单项标准,上传即为通过,
五、3 历年抽查单证文件,,五、3 历年抽查单证文件,,0,单项标准,上传即为通过,
